Museum,Num,Subsp,CPL,CIL,UTL,MTL,EPL,PPL,EB,MB,LB,LIB,ZB,BB,LPL,CNL,PBPL,LTPL,LCH,MH,MCH,MCW,MCIL,LTL,Sex,Locality,region,Type,island
MCZ,22254,minor,33.44,32.85,17.03,11.97,,18.56,,14.52,13.43,11.29,19.63,16.25,35.97,32.44,22.36,14.14,8.97,11.06,6.62,2.2,25.34,16.12,f,"Dutch Borneo, Long Navang",north kalimantan,,borneo
FMNH,33030,minor,33.54,33.35,17.5,11.83,23.11,18.4,9.19,14.93,13.35,11.29,20.14,16.72,36.65,32.58,22.32,13.94,10.06,10.95,6.96,2.18,25.37,,m,"Malaysia: Sabah; Sandakan, 8th mi W",sabah,,borneo
MCZ,36402,minor,33.74,33.68,17.99,,23.6,18.67,8.5,14.23,13.69,11.06,19.85,15.31,36.38,32.99,22.32,13.94,9.47,10.61,6.6,2.19,26,16.61,m,"Brit. N. Borneo, Mt. Kinabalu",sabah,,borneo
MCZ,36809,minor,,,,,,,,,13.16,11.37,,,,,,12.54,,9.6,6.37,1.96,,,f,"Borneo, Sarawak, Kuching",sarawak,,borneo
MCZ,36810,minor,,,16.68,12.17,,,,,13.22,10.7,,,,,,14.14,,,,,,16.53,f,"Borneo, Sarawak, Kuching",sarawak,,borneo
MCZ,57003,minor,33.52,33.17,17.53,12.23,,18.77,,14.24,,11.69,19.98,16.69,36.45,32.79,22.2,13.73,10.11,9.83,5.75,2.07,25.44,16.38,m,"Borneo, prob. Mt Kinabalu",sabah,,borneo
FMNH,65880,malaccana,33.83,33.48,17.29,12.43,,,,15,,11.1,20.88,15.83,36.21,33.08,22.11,13.87,9.24,11.02,7.11,2.22,25.73,16.29,f,Malaysia: Selangor; Kepong near Kuala Lumpur,selangor,,malay peninsula
FMNH,76832,minor,32.98,32.63,17,11.86,22.5,17.98,,14.5,12.78,10.42,,15.63,35.69,32.19,,13.72,8.95,9.92,6.14,2.07,25.31,15.9,f,"Malaysia: Sabah; East Coast Residency, Kinabatangan Dist, Little Kretam River",sabah,,borneo
FMNH,76833,minor,31.95,31.68,16.76,11.78,,,,,13.56,10.85,,,34.81,31.51,,12.95,9.36,,6.84,2.08,24.77,16.09,f,"Malaysia: Sabah; East Coast Residency, Kinabatangan Dist, Little Kretam River",sabah,,borneo
FMNH,76835,minor,,,,12.18,,,8.96,14.95,12.67,11,,15.98,,32.73,,,9,10.27,6.31,1.95,26.1,17.9,f,"Malaysia: Sabah; East Coast Residency, Kinabatangan Dist, Little Kretam River",sabah,,borneo
FMNH,76836,minor,32.44,32.13,16.97,11.65,,17.76,,14.71,13.69,11.2,19.28,15.66,35.27,31.73,21.84,13.38,9.61,10.15,6.66,2.27,24.59,15.73,f,"Malaysia: Sabah; East Coast Residency, Kinabatangan Dist, Little Kretam River",sabah,,borneo
FMNH,76839,minor,,,17.63,11.91,,,,,,,,,,,,,,,6.66,1.89,,15.87,m,"Malaysia: Sabah; East Coast Residency, Kinabatangan Dist, Little Kretam River",sabah,,borneo
