Lat,Long,Specimens,Number of Specimens,Verbatim Subspecies,Modern Subsp. Classification,Subspecies,Verbatim Locality
-0.196,104.55,USNM 101598,1,malaccana,,T. m. sincepis,"Lingga Archipelago, Linga Island, Peak Of"
-0.2,104.7,"USNM 101599, USNM 101600, USNM 113068",3,malaccana,,T. m. sincepis,"Lingga Archipelago, Linga Island"
-0.48,102.11,USNM 113166,1,malaccana,humeralis,T. m. humeralis,Indragiri River
1.69,98.75,USNM 114550,1,malaccana,humeralis,T. m. humeralis,Tapanuli Bay
-1.22,100.42,USNM 141076,1,malaccana,humeralis,T. m. humeralis,Tarussan Bay
2.21,103.36,USNM 112618,1,malaccana,malaccana,T. m. malaccana,Sembrong River
1.46,103.67,USNM 143271,1,malaccana,malaccana,T. m. malaccana,Sungei Malayu
3.24,101.69,USNM 152186,1,malaccana,malaccana,T. m. malaccana,"Kuala Lumpur, Batu Caves"
3.2,101.64,"USNM 290150, USNM 291267, USNM 291268, FMNH 65880",4,malaccana,malaccana,T. m. malaccana,"""Kuala Lumpur, Near, Kepong"" (USMN specimens), ""Malaysia: Selangor; Kepong near Kuala Lumpur"" (FMNH specimen)"
3.25,101.69,USNM 290151,1,malaccana,malaccana,T. m. malaccana,"Kuala Lumpur, 6 Mi N Of"
3.14,101.69,USNM 291269,1,malaccana,malaccana,T. m. malaccana,"Kuala Lumpur, Near"
3.2,101.5,"USNM 291270, USNM 355346",2,malaccana,malaccana,T. m. malaccana,"Selangor, Malaysia"
2.4,103.25,"USNM 487960, USNM 487961, USNM 487962, USNM 487963, USNM 487964, USNM 487965, USNM 487968",7,malaccana,malaccana,T. m. malaccana,"Bekok, Labis Forest Reserve, Tamok"
2.37,103.25,USNM 487966,1,malaccana,malaccana,T. m. malaccana,"Bekok, Labis Forest Reserve, Kudong"
2.45,103.28,"USNM 487967, USNM 487969",2,malaccana,malaccana,T. m. malaccana,"Bekok, Labis Forest Reserve, Kersiak"
2.95,103.37,"USNM 487970, USNM 487971",2,malaccana,malaccana,T. m. malaccana,"Rompin, Bukit Payong, Kampong Bukit"
3.26,101.61,"USNM 487987, USNM 487991, USNM 487995, USNM 488009, USNM 488014, USNM 488016, USNM 488018, BMNH 66.1152, BMNH 66.1153",9,malaccana,malaccana,T. m. malaccana,"Batu (Kepong), Bukit Legong Forest Reserve"
3.05,101.58,"USNM 487988, USNM 487989, USNM 487992, USNM 487993, USNM 487998, USNM 487999, USNM 488000, USNM 488001, USNM 488002, USNM 488003, USNM 488004, USNM 488005, USNM 488006, USNM 488007, USNM 488008",15,malaccana,malaccana,T. m. malaccana,"Subang, Subang Forest Reserve"
2.93,101.59,"USNM 487990, USNM 487994, USNM 488011, USNM 488012, USNM 488013, USNM 488015, USNM 488021, USNM 488022, USNM 488023",9,malaccana,malaccana,T. m. malaccana,"Tanjong Duablas, Kuala Langat Forest Reserve, Bukit Mandol"
3.18,101.59,"USNM 487996, USNM 488019, USNM 488020",3,malaccana,malaccana,T. m. malaccana,"Sungei Buloh, Sungei Buloh Forest Reserve, Bukit Lanjan"
2.94,101.53,USNM 487997,1,malaccana,malaccana,T. m. malaccana,"Bukit Kemandul, Sungai Rasu, Batu 8"
3.39,101.41,USNM 488010,1,malaccana,malaccana,T. m. malaccana,"Batang Berjuntai, Batang Berjuntai Forest"
2.91,101.6,USNM 488017,1,malaccana,malaccana,T. m. malaccana,"Tanjong Duablas, Kuala Langat Forest Reserve"
-1.12,109.95,USNM 145575,1,minor,minor,T. m. minor,"Simpang River, Mouth Of"
