Museum,Num,Subspecies,Sex,Locality,region,Type,Island,lat,long,CPL,CIL,UTL,MTL,EPL,PPL,EB,MB,LB,LIB,ZB,BB,LPL,CNL,PBPL,LTPL,LCH,MH,MCH,MCW,MCIL,LTL
MCZ,22254,T. m. minor,f,"Dutch Borneo, Long Navang",E,,Borneo,1.79,114.9,33.44,32.85,17.03,11.97,,18.56,,14.52,13.43,11.29,19.63,16.25,35.97,32.44,22.36,14.14,8.97,11.06,6.62,2.2,25.34,16.12
FMNH,33030,T. m. caedis,m,"Malaysia: Sabah; Sandakan, 8th mi W",NE,,Borneo,5.84,117.97,33.54,33.35,17.5,11.83,23.11,18.4,9.19,14.93,13.35,11.29,20.14,16.72,36.65,32.58,22.32,13.94,10.06,10.95,6.96,2.18,25.37,
MCZ,36402,T. m. minor,m,"Brit. N. Borneo, Mt. Kinabalu",NE,,Borneo,6.07,116.56,33.74,33.68,17.99,,23.6,18.67,8.5,14.23,13.69,11.06,19.85,15.31,36.38,32.99,22.32,13.94,9.47,10.61,6.6,2.19,26,16.61
MCZ,36809,T. m. minor,f,"Borneo, Sarawak, Kuching",N,,Borneo,1.57,110.33,,,,,,,,,13.16,11.37,,,,,,12.54,,9.6,6.37,1.96,,
MCZ,36810,T. m. minor,f,"Borneo, Sarawak, Kuching",N,,Borneo,1.57,110.33,,,16.68,12.17,,,,,13.22,10.7,,,,,,14.14,,,,,,16.53
MCZ,57003,T. m. minor,m,"Borneo, prob. Mt Kinabalu",NE,,Borneo,6.07,116.56,33.52,33.17,17.53,12.23,,18.77,,14.24,,11.69,19.98,16.69,36.45,32.79,22.2,13.73,10.11,9.83,5.75,2.07,25.44,16.38
FMNH,65880,T. m. malaccana,f,Malaysia: Selangor; Kepong near Kuala Lumpur,W,,Malay Peninsula,3.2,101.64,33.83,33.48,17.29,12.43,,,,15,,11.1,20.88,15.83,36.21,33.08,22.11,13.87,9.24,11.02,7.11,2.22,25.73,16.29
FMNH,76832,T. m. caedis,f,"Malaysia: Sabah; East Coast Residency, Kinabatangan Dist, Little Kretam River",NE,,Borneo,5.52,118.56,32.98,32.63,17,11.86,22.5,17.98,,14.5,12.78,10.42,,15.63,35.69,32.19,,13.72,8.95,9.92,6.14,2.07,25.31,15.9
FMNH,76833,T. m. caedis,f,"Malaysia: Sabah; East Coast Residency, Kinabatangan Dist, Little Kretam River",NE,,Borneo,5.52,118.56,31.95,31.68,16.76,11.78,,,,,13.56,10.85,,,34.81,31.51,,12.95,9.36,,6.84,2.08,24.77,16.09
FMNH,76835,T. m. caedis,f,"Malaysia: Sabah; East Coast Residency, Kinabatangan Dist, Little Kretam River",NE,,Borneo,5.52,118.56,,,,12.18,,,8.96,14.95,12.67,11,,15.98,,32.73,,,9,10.27,6.31,1.95,26.1,17.9
FMNH,76836,T. m. caedis,f,"Malaysia: Sabah; East Coast Residency, Kinabatangan Dist, Little Kretam River",NE,,Borneo,5.52,118.56,32.44,32.13,16.97,11.65,,17.76,,14.71,13.69,11.2,19.28,15.66,35.27,31.73,21.84,13.38,9.61,10.15,6.66,2.27,24.59,15.73
FMNH,76839,T. m. caedis,m,"Malaysia: Sabah; East Coast Residency, Kinabatangan Dist, Little Kretam River",NE,,Borneo,5.52,118.56,,,17.63,11.91,,,,,,,,,,,,,,,6.66,1.89,,15.87
FMNH,76840,T. m. caedis,f,"Malaysia: Sabah; East Coast Residency, Kinabatangan Dist, Little Kretam River",NE,,Borneo,5.52,118.56,33.6,33.35,17.5,12,,18.17,,15.42,12.91,10.9,19.18,15.63,36.28,32.86,21.73,13.64,9.83,10.49,6.11,2,25.26,16.15
FMNH,76841,T. m. caedis,m,"Malaysia: Sabah; East Coast Residency, Kinabatangan Dist, Little Kretam River",NE,,Borneo,5.52,118.56,33.64,33.55,17.79,12.17,23.17,18.77,,15.42,13.9,,19.95,16.5,36.28,32.66,22.15,13.88,,11.03,6.83,2.04,25.4,16.34
FMNH,76842,T. m. caedis,f,"Malaysia: Sabah; East Coast Residency, Kinabatangan Dist, Little Kretam River",NE,,Borneo,5.52,118.56,35.86,35.7,19.11,13.75,,19.85,,16.14,15.8,11.54,21.14,16.98,39.05,35.18,25.47,15.63,10.57,11.16,7.47,2.63,27.42,18.04
FMNH,76843,T. m. caedis,f,"Malaysia: Sabah; East Coast Residency, Kinabatangan Dist, Little Kretam River",NE,,Borneo,5.52,118.56,33.32,33.14,17.49,12.01,23.16,18.06,,15.33,,11.33,19.27,16.07,35.62,32.48,21.87,13.81,9.58,9.64,6.07,2.24,25.31,16.42
FMNH,76844,T. m. caedis,f,"Malaysia: Sabah; East Coast Residency, Sandakan Dist, Sapagaya Forest Res",NE,,Borneo,5.59,118.14,33.22,32.89,17.58,12.05,23.04,18.48,9.12,14.98,,10.37,18.78,15.38,34.85,32.72,21.87,13.58,9.34,10.5,6.78,2.32,25.19,16.09
